ComponentID,JSON_Short,JSON_All,Name,Star_Name2,Star_Name3,NameQuality?,StarNameLen,HasSpaces,Has+-,Mass,Diameter,MassKG,DiamKM,IsClosed,LastUpdated,MassSource,DiameterSource,IsDiameterArcsec,Star_RA,Star_DEC,theta,phi,loc_x,loc_y,loc_z,gal_x,gal_y,gal_z,Star_Distance,Star_Mass,Star_Diameter,Star_Spectra,Star_Luminocity,Luminosity Fixed,Age,Metallicity,ProperMotion,PMAngle,RadialVelocity,Temp (K),StarType,ColorCode,PointsOfInterest,,,,,,,,,,
101," { starName:""Sol"", id:101, galX:0, galY:0, galZ:0,  dist:0, color:0xfff5ec}, "," { starName:""Sol"", id:101, mass:1.9891E+30, diameter:1392000, galX:0, galY:0, galZ:0,  dist:0, starType:""G2(V)"", temp:5760, color:0xfff5ec}, ",Sol,Sol,Sol,6,1,1,1,1.00E+00,1.00E+00,1.99E+30," 1,392,000 ",0,7/9/1998 0:00,,,0,0,0,0,1.570796327,0,0,0,0,0,0,0,1,1,G2,V,V,4800,1,,,,5760,G2(V),0xfff5ec,"The ""8"" in the Detected Planets entry is not an error.&nbsp; Pluto is not a ""planet,"" but a huge, close-orbiting, low-eccentricity Kuiper Belt object.&nbsp; With a big moon.&nbsp; Of course, some die-hards out there still insist that it really <I>is</I> a planet, more for sentimental reasons than anything else.&nbsp; They're welcome to live in their little fantasy world.&nbsp; Neener neener.",,,,,,,,,,
201," { starName:""Alpha Centauri"", id:201, galX:3.205, galY:-3.014, galZ:0.035,  dist:4.4, color:0xfff5ec}, "," { starName:""Alpha Centauri"", id:201, mass:2.18801E+30, diameter:1707984, galX:3.205, galY:-3.014, galZ:0.035,  dist:4.4, starType:""G2(V)"", temp:5760, color:0xfff5ec}, ",A,Alpha Centauri,Alpha Centauri,6,1,1,1,1.10E+00,1.23E+00,2.19E+30," 1,707,984 ",0,3/19/2003 0:00,,ESO,0,14.65996667,-59.16461111,3.837970298,2.603413591,-1.730217488,-1.446660718,-3.778031261,3.205,-3.014,0.035,4.4,1.1,1.227,G2,V,V,6520,1.6,,,,5760,G2(V),0xfff5ec,"Although the third brightest star in the system can be called ""Alpha Centauri C,"" as per the usual naming convention, it is usually referred to as Proxima Centauri, since the dimmest star of this triplet happens to be THE closest star to our own sun.&nbsp; Proxima is a <a href=""/flare.html"">flare star</a>; its flares about double the star's brightness, occurring sporadically from hour to hour.&nbsp; In fact, at any given moment, more than one flare may be operating.&nbsp; This varying brightness gave it the name ""V645 Centauri"" among variable star enthusiasts.&nbsp; Unfortunately, such flares are lethal to any life that might otherwise arise on planets in its comfort zone (if Proxima has any). <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Life on planets orbiting Alpha Centauri A or B, however, is almost as likely as life in our own star system.&nbsp; Since the smallest gap between A and B is 11.3 Astronomical Units, any planets closer to A or B than one-quarter of this distance (2.9 A.U.s) would be in stable orbits.&nbsp; Furthermore, 2.9 A.U.s is wider than the comfort zone of either of these stars, so any planets in the comfort zones of A or B would also be within the stable orbit region.&nbsp; These stars are young enough to have developed when the galaxy was rich with life-supporting and solid-planet-supporting heavy elements, yet old enough for any life there to have evolved into complex forms. <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Both Don C. Barry, and B. Edvardsson et al., estimated the age of this star system at 4.2 thousand-million years.&nbsp; The earliest estimate of this system's age, by Flannery &amp; Ayres in the 1-April-1978 <I>Astrophysical Journal</I>, however, was 6 thousand-million years, which is closer to the most recent estimate.",,,,,,,,,,
202," { starName:""Beta Centauri"", id:202, galX:3.205, galY:-3.014, galZ:0.035,  dist:4.4, color:0xffd7ae}, "," { starName:""Beta Centauri"", id:202, mass:1.690735E+30, diameter:8352, galX:3.205, galY:-3.014, galZ:0.035,  dist:4.4, starType:""K4(V)"", temp:4450, color:0xffd7ae}, ",B,Alpha Centauri,Beta Centauri,6,1,1,1,8.50E-01,6.00E-03,1.69E+30," 8,352 ",0,3/19/2003 0:00,,Lionel,1,14.65996667,-59.16461111,3.837970298,2.603413591,-1.730217488,-1.446660718,-3.778031261,3.205,-3.014,0.035,4.4,0.85,0.006,K4,V,V,6520,1.6,,,,4450,K4(V),0xffd7ae,"Although the third brightest star in the system can be called ""Alpha Centauri C,"" as per the usual naming convention, it is usually referred to as Proxima Centauri, since the dimmest star of this triplet happens to be THE closest star to our own sun.&nbsp; Proxima is a <a href=""/flare.html"">flare star</a>; its flares about double the star's brightness, occurring sporadically from hour to hour.&nbsp; In fact, at any given moment, more than one flare may be operating.&nbsp; This varying brightness gave it the name ""V645 Centauri"" among variable star enthusiasts.&nbsp; Unfortunately, such flares are lethal to any life that might otherwise arise on planets in its comfort zone (if Proxima has any). <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Life on planets orbiting Alpha Centauri A or B, however, is almost as likely as life in our own star system.&nbsp; Since the smallest gap between A and B is 11.3 Astronomical Units, any planets closer to A or B than one-quarter of this distance (2.9 A.U.s) would be in stable orbits.&nbsp; Furthermore, 2.9 A.U.s is wider than the comfort zone of either of these stars, so any planets in the comfort zones of A or B would also be within the stable orbit region.&nbsp; These stars are young enough to have developed when the galaxy was rich with life-supporting and solid-planet-supporting heavy elements, yet old enough for any life there to have evolved into complex forms. <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Both Don C. Barry, and B. Edvardsson et al., estimated the age of this star system at 4.2 thousand-million years.&nbsp; The earliest estimate of this system's age, by Flannery &amp; Ayres in the 1-April-1978 <I>Astrophysical Journal</I>, however, was 6 thousand-million years, which is closer to the most recent estimate.",,,,,,,,,,
203," { starName:""Proxima Centauri"", id:203, galX:2.972, galY:-2.994, galZ:-0.077,  dist:4.22, color:0xffcd75}, "," { starName:""Proxima Centauri"", id:203, mass:2.446593E+29, diameter:1453, galX:2.972, galY:-2.994, galZ:-0.077,  dist:4.22, starType:""M5(V)"", temp:2680, color:0xffcd75}, ",Proxima Centauri,Alpha Centauri,Proxima Centauri,6,1,1,1,1.23E-01,1.04E-03,2.45E+29," 1,453 ",0,4/26/2003 0:00,ESO,ESO,1,14.49525278,-61.32022222,3.794848303,2.641036103,-1.608259227,-1.230888095,-3.702271837,2.972,-2.994,-0.077,4.22,0.123,0.001044,M5e,V,V,6520,1.6,,,,2680,M5(V),0xffcd75,"Although the third brightest star in the system can be called ""Alpha Centauri C,"" as per the usual naming convention, it is usually referred to as Proxima Centauri, since the dimmest star of this triplet happens to be THE closest star to our own sun.&nbsp; Proxima is a <a href=""/flare.html"">flare star</a>; its flares about double the star's brightness, occurring sporadically from hour to hour.&nbsp; In fact, at any given moment, more than one flare may be operating.&nbsp; This varying brightness gave it the name ""V645 Centauri"" among variable star enthusiasts.&nbsp; Unfortunately, such flares are lethal to any life that might otherwise arise on planets in its comfort zone (if Proxima has any). <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Life on planets orbiting Alpha Centauri A or B, however, is almost as likely as life in our own star system.&nbsp; Since the smallest gap between A and B is 11.3 Astronomical Units, any planets closer to A or B than one-quarter of this distance (2.9 A.U.s) would be in stable orbits.&nbsp; Furthermore, 2.9 A.U.s is wider than the comfort zone of either of these stars, so any planets in the comfort zones of A or B would also be within the stable orbit region.&nbsp; These stars are young enough to have developed when the galaxy was rich with life-supporting and solid-planet-supporting heavy elements, yet old enough for any life there to have evolved into complex forms. <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Both Don C. Barry, and B. Edvardsson et al., estimated the age of this star system at 4.2 thousand-million years.&nbsp; The earliest estimate of this system's age, by Flannery &amp; Ayres in the 1-April-1978 <I>Astrophysical Journal</I>, however, was 6 thousand-million years, which is closer to the most recent estimate.",,,,,,,,,,
301," { starName:""Barnard's Star"", id:301, galX:4.935, galY:3, galZ:1.388,  dist:5.94, color:0xffbb7b}, "," { starName:""Barnard's Star"", id:301, mass:3.142778E+29, diameter:1398, galX:4.935, galY:3, galZ:1.388,  dist:5.94, starType:""M4(V)"", temp:2850, color:0xffbb7b}, ",Barnard's Star,Barnard's Star,Barnard's Star,6,1,1,1,1.58E-01,1.00E-03,3.14E+29," 1,398 ",0,4/26/2003 0:00,ESO,ESO,1,17.96347639,4.693286111,4.702827121,1.488883031,-0.056606137,-5.919812438,0.486021032,4.935,3,1.388,5.94,0.158,0.001004,M4,V,V,0,0.2,10.31,355.8,-111,2850,M4(V),0xffbb7b,"Besides moving across the terrestrial sky faster than any other star (almost a third of a degree of arc per century!), Barnard's Star, we are certain, has planets.&nbsp; Although we have never actually seen these planets, wobbles in Barnard's Star's course indicate that it has two invisible companions, one with a mass of 0.7 times that of Jupiter (0.0007 x Sol) orbiting it at 3 Astronomical Units, and one with a mass of 1.15 times that of Jupiter (0.0015 x Sol) orbiting it at 5 A.U.s with an orbital period of 24 years.&nbsp; However, since this is an old Population II star which formed before the galaxy became enriched with heavy elements, these planets are going to be carbon and metal poor, probably little more than heavy balls of hydrogen and helium.&nbsp; (One catalog even states that, despite its velocity’s moderate z-component, Barnard's Star actually belongs to the *very* old galactic halo population.) <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;The British Interplanetary Society once proposed Project Daedalus, a mission to send an unmanned spacecraft to Barnard's Star using a deuterium/helium-3 nuclear fusion reaction to provide thrust.&nbsp; Such a mission would require both a larger spacecraft-construction infrastructure, and better hot-fusion technology, than are currently available.",,,,,,,,,,
401," { starName:""CN Leonis"", id:401, galX:-1.897, galY:-3.904, galZ:6.481,  dist:7.8, color:0xffbb7b}, "," { starName:""CN Leonis"", id:401, mass:1.849863E+29, diameter:180960, galX:-1.897, galY:-3.904, galZ:6.481,  dist:7.8, starType:""M6(V)"", temp:2510, color:0xffbb7b}, ",Wolf 359,CN Leonis,CN Leonis,5,1,0,1,9.30E-02,1.30E-01,1.85E+29," 180,960 ",0,7/9/1998 0:00,,,0,10.90166667,7.32,2.854049659,1.443038226,-7.418800004,2.194028043,0.993804531,-1.897,-3.904,6.481,7.8,0.093,0.13,M6e,V,V,0,0,4.696,234.6,13,2510,M6(V),0xffbb7b,"Besides its proximity to our own sun, this tiny star is one of the least luminous known, even though astronomers suspect that such intrinsically faint stars are probably very common in space.&nbsp; Alpha Centauri Proxima is another super-dim star of this ilk; and, like Proxima Centauri, Wolf 359 is now known to be a <a href=""/flare.html"">flare star</a> (hence the CN Leonis variable star designation). Wolf 359's flare outbursts are rarer and not as violent as those of Proxima Centauri or UV Ceti.",,,,,,,,,,
501," { starName:""Lalande 21185"", id:501, galX:-3.358, galY:-0.32, galZ:7.594,  dist:8.31, color:0xffbe7f}, "," { starName:""Lalande 21185"", id:501, mass:8.016073E+29, diameter:1999, galX:-3.358, galY:-0.32, galZ:7.594,  dist:8.31, starType:""M2(V)"", temp:3190, color:0xffbe7f}, ",Lalande 21185,,Lalande 21185,6,1,1,1,4.03E-01,1.44E-03,8.02E+29," 1,999 ",0,4/26/2003 0:00,ESO,ESO,1,11.05561889,35.96978889,2.894354257,0.943005079,-6.520996337,1.645914658,4.880949878,-3.358,-0.32,7.594,8.31,0.403,0.001436,M2n,V,V,0,0.63,4.807,186.8,-84.3,3190,M2(V),0xffbe7f,"The z-component of Lalande 21185's velocity suggests that it's from the galactic halo population; however, J.R. Mould's spectral analysis (printed in vol. 226, page 923 of the Astrophysical Journal (1978)) says that the ratio of iron to hydrogen in the star is a whopping 60% of our sun's iron-to-hydrogen ratio, which is awfully iron-rich for a halo population star.&nbsp; The presence of emission lines in the star's spectrum would support the idea that this is a decently heavy-element-rich star as well. <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Wobbles in Lalande 21185's position were once thought to indicate an unseen object orbiting it, but subsequent analysis showed that no such wobbles were occurring.",,,,,,,,,,
601," { starName:""Sirius"", id:601, galX:-5.895, galY:-6.152, galZ:-1.167,  dist:8.6, color:0xbaccff}, "," { starName:""Sirius"", id:601, mass:4.674385E+30, diameter:2825760, galX:-5.895, galY:-6.152, galZ:-1.167,  dist:8.6, starType:""A1(V)"", temp:9500, color:0xbaccff}, ",Sirius A,Sirius,Sirius,6,1,1,1,2.35E+00,2.03E+00,4.67E+30," 2,825,760 ",0,11/1/1998 0:00,,Fracassini,0,6.752464167,-15.28389167,1.767790985,1.837550559,-1.623685048,8.135383622,-2.266976001,-5.895,-6.152,-1.167,8.6,2.35,2.03,A1,V,V,300,4.09898,1.328,204.3,-9.4,9500,A1(V),0xbaccff,"While Sirius A is known for being the brightest star in the sky, Sirius B was the first White Dwarf to be discovered by humankind (that it took almost a century from the discovery of Sirius B to the acceptance of its White Dwarfness notwithstanding).&nbsp; Sirius B's calculated average density is 92 000 times that of the sun; one cubic inch of material at that density would weigh over two tons at the surface of the Earth.&nbsp; Electron-degeneracy theory predicts that below the surface layers, Sirius B has a uniform density and temperature throughout; however, the outer gaseous layers are probably not electron-degenerate, and thus would not be nearly as dense as the two-tons-to-the-cubic-inch figure previously quoted.&nbsp; (For more information about white dwarfs, see the <a href=""/evolution.html#lightweight"">Lightweight Stars</a>.) <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Sirius A is a young star.&nbsp; It has to be; class A main sequence stars exhaust the nuclear fuel in their cores within 1000 million years and turn into red giants or Cepheid variables thereafter.&nbsp; Thus, if there are any life-bearing planets orbiting Sirius A, any life on them will be primitive (it took about 1500 million years for the first oxygen-producing life to develop on Earth, and over twice that long for multicellular organisms to arise). <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Due to slight perturbations in the orbit of Sirius B, an additional, unseen companion to either Sirius A or Sirius B is suspected.",,,,,,,,,,
602," { starName:""Sirius"", id:602, galX:-5.895, galY:-6.152, galZ:-1.167,  dist:8.6, color:0xffc97f}, "," { starName:""Sirius"", id:602, mass:1.949318E+30, diameter:30624, galX:-5.895, galY:-6.152, galZ:-1.167,  dist:8.6, starType:""DA(wd)"", temp:5000, color:0xffc97f}, ",Sirius B,Sirius,Sirius,6,1,1,1,9.80E-01,2.20E-02,1.95E+30," 30,624 ",0,1/24/1999 0:00,,Fracassini,0,6.752464167,-15.28389167,1.767790985,1.837550559,-1.623685048,8.135383622,-2.266976001,-5.895,-6.152,-1.167,8.6,0.98,0.022,DA2,wd,wd,300,4.09898,1.328,204.3,-9.4,5000,DA(wd),0xffc97f,"While Sirius A is known for being the brightest star in the sky, Sirius B was the first White Dwarf to be discovered by humankind (that it took almost a century from the discovery of Sirius B to the acceptance of its White Dwarfness notwithstanding).&nbsp; Sirius B's calculated average density is 92 000 times that of the sun; one cubic inch of material at that density would weigh over two tons at the surface of the Earth.&nbsp; Electron-degeneracy theory predicts that below the surface layers, Sirius B has a uniform density and temperature throughout; however, the outer gaseous layers are probably not electron-degenerate, and thus would not be nearly as dense as the two-tons-to-the-cubic-inch figure previously quoted.&nbsp; (For more information about white dwarfs, see the <a href=""/evolution.html#lightweight"">Lightweight Stars</a>.) <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Sirius A is a young star.&nbsp; It has to be; class A main sequence stars exhaust the nuclear fuel in their cores within 1000 million years and turn into red giants or Cepheid variables thereafter.&nbsp; Thus, if there are any life-bearing planets orbiting Sirius A, any life on them will be primitive (it took about 1500 million years for the first oxygen-producing life to develop on Earth, and over twice that long for multicellular organisms to arise). <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Due to slight perturbations in the orbit of Sirius B, an additional, unseen companion to either Sirius A or Sirius B is suspected.",,,,,,,,,,
701," { starName:""BL Ceti"", id:701, galX:-2.138, galY:0.219, galZ:-8.276,  dist:8.55, color:0xffcd75}, "," { starName:""BL Ceti"", id:701, mass:2.38692E+29, diameter:208800, galX:-2.138, galY:0.219, galZ:-8.276,  dist:8.55, starType:""M5(V)"", temp:2680, color:0xffcd75}, ",A,,BL Ceti,5,1,0,1,1.20E-01,1.50E-01,2.39E+29," 208,800 ",0,11/5/1998 0:00,,Fracassini,0,1.606944444,-17.78833333,0.420697072,1.881261312,7.431358835,3.324856034,-2.612037178,-2.138,0.219,-8.276,8.55,0.12,0.15,M5.5e,V,V,0,0,3.368,80.4,0,2680,M5(V),0xffcd75,"Properly, only the less bright star in this system (Luyten 726-8 B) bears the name UV Ceti, since it is a variable star — the UV indicates that this was the 35th variable star discovered in the constellation Cetus.&nbsp; It is an extreme <a href=""/flare.html"">flare star</a>; in less than a minute, it can quintuple its total brightness, afterwhich it will fall back down to normal brightness levels within two or three minutes; and then flare suddenly again after several hours.&nbsp; In 1952, UV Ceti was observed flaring to 75 times its normal brightness in only 20 seconds! <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;If van de Kamp's orbital data are to be believed, these two stars would have to be exceedingly small and light -- their masses would be only 0.044 x Sol for the ""A"" star and 0.035 x Sol for UV Ceti.&nbsp; This would mean that, although each of these stars is brighter than Wolf 359, Wolf 359 would have a higher mass than both of these stars <I>combined</I>.&nbsp; However, if we assume that Worley & Behall's orbital data are the more accurate, the two stars' total mass would be 0.23 x Sol, which is more in keeping with the measurements of both their luminosities and their diameters.",,,,,,,,,,
